gage,date,Min,Max,Mean
6803486.00,2011-05-31,35.10,1860.00,211.17
6803486.00,2011-06-30,50.40,428.00,108.05
6803486.00,2011-07-31,27.60,152.00,68.37
6803486.00,2011-08-31,29.20,394.00,69.55
6803486.00,2011-09-30,17.60,44.70,25.59
6803486.00,2011-10-31,16.80,27.60,21.11
6803486.00,2011-11-30,21.40,30.40,23.62
6803486.00,2011-12-31,19.30,41.40,25.39
6803486.00,2012-01-31,20.80,26.40,23.69
6803486.00,2012-02-29,23.10,43.50,30.89
6803486.00,2012-03-31,28.70,45.30,33.59
6803486.00,2012-04-30,22.10,291.00,43.84
6803486.00,2012-05-31,23.20,125.00,41.53
6803486.00,2012-06-30,15.20,167.00,39.62
6803486.00,2012-07-31,9.28,23.90,13.05
6803486.00,2012-08-31,6.91,16.90,9.52
6803486.00,2012-09-30,6.18,14.20,7.48
6803486.00,2012-10-31,7.14,15.70,9.73
6803486.00,2012-11-30,11.20,13.50,12.28
6803486.00,2012-12-31,11.40,22.80,13.86
6803486.00,2013-01-31,13.10,18.90,15.51
6803486.00,2013-02-28,12.90,17.60,14.53
6803486.00,2013-03-31,14.40,27.80,18.97
6803486.00,2013-04-30,15.00,75.90,21.93
6803486.00,2013-05-31,14.50,963.00,90.71
6803486.00,2013-06-30,23.70,80.60,39.43
6803486.00,2013-07-31,9.78,19.80,13.72
6803486.00,2013-08-31,7.64,23.00,10.67
6803486.00,2013-09-30,6.69,12.40,9.13
6803486.00,2013-10-31,6.40,22.60,10.80
6803486.00,2013-11-30,8.11,21.50,10.95
6803486.00,2013-12-31,6.86,11.80,8.55
6803486.00,2014-01-31,6.81,10.80,9.44
6803486.00,2014-02-28,10.40,16.50,12.53
6803486.00,2014-03-31,11.20,15.60,13.20
6803486.00,2014-04-30,12.30,22.80,14.65
6803486.00,2014-05-31,10.10,2040.00,136.27
6803486.00,2014-06-30,60.80,2410.00,281.01
6803486.00,2014-07-31,13.60,203.00,67.81
6803486.00,2014-08-31,13.00,2250.00,275.38
6803486.00,2014-09-30,50.70,768.00,192.64
6803486.00,2014-10-31,39.40,1040.00,92.06
6803486.00,2014-11-30,28.70,38.70,33.60
6803486.00,2014-12-31,27.10,43.70,34.74
6803486.00,2015-01-31,28.30,40.90,34.32
6803486.00,2015-02-28,28.00,42.30,35.27
6803486.00,2015-03-31,34.80,45.60,39.93
6803486.00,2015-04-30,39.50,78.60,50.42
6803486.00,2015-05-31,42.40,3280.00,339.38
6803486.00,2015-06-30,89.70,1300.00,265.80
6803486.00,2015-07-31,31.70,171.00,80.20
6803486.00,2015-08-31,25.90,538.00,70.67
6803486.00,2015-09-30,26.50,76.10,34.36
6803486.00,2015-10-31,25.80,31.00,27.62
6803486.00,2015-11-30,27.80,59.20,33.92
6803486.00,2015-12-31,34.90,1090.00,124.06
6803486.00,2016-01-31,45.60,94.20,61.31
6803486.00,2016-02-29,63.00,243.00,107.91
6803486.00,2016-03-31,52.90,89.40,66.70
6803486.00,2016-04-30,40.00,503.00,117.59
6803486.00,2016-05-31,165.00,1850.00,494.77
6803486.00,2016-06-30,46.00,354.00,135.42
6803486.00,2016-07-31,31.70,675.00,80.34
6803486.00,2016-08-31,31.00,254.00,54.09
6803486.00,2016-09-30,27.30,196.00,54.15
6803486.00,2016-10-31,33.30,194.00,53.62
6803486.00,2016-11-30,33.90,41.10,37.02
6803486.00,2016-12-31,33.50,277.00,53.28
6803486.00,2017-01-31,58.00,210.00,86.26
6803486.00,2017-02-28,45.20,70.10,54.46
6803486.00,2017-03-31,33.20,62.60,39.96
6803486.00,2017-04-30,41.70,175.00,66.31
6803486.00,2017-05-31,58.80,2220.00,311.41
6803486.00,2017-06-30,65.00,541.00,156.80
6803486.00,2017-07-31,40.30,555.00,90.59
6803486.00,2017-08-31,33.80,771.00,110.23
6803486.00,2017-09-30,27.40,56.00,33.39
6803486.00,2017-10-31,31.80,1280.00,150.78
6803486.00,2017-11-30,38.60,45.30,41.06
6803486.00,2017-12-31,35.10,45.20,37.72
6803486.00,2018-01-31,20.30,92.60,46.08
6803486.00,2018-02-28,16.90,55.10,24.62
6803486.00,2018-03-31,42.70,74.70,54.29
6803486.00,2018-04-30,37.40,52.60,42.07
6803486.00,2018-05-31,27.90,41.20,34.04
6803486.00,2018-06-30,20.50,897.00,133.63
6803486.00,2018-07-31,32.20,233.00,69.20
6803486.00,2018-08-31,24.00,86.10,33.46
6803486.00,2018-09-30,30.70,1150.00,154.86
6803486.00,2018-10-31,41.70,186.00,62.65
6803486.00,2018-11-30,35.70,52.40,46.28
6803486.00,2018-12-31,72.20,918.00,181.35
6803486.00,2019-01-31,63.20,145.00,97.46
6803486.00,2019-02-28,55.00,122.00,71.15
6803486.00,2019-03-31,51.70,4680.00,726.56
6803486.00,2019-04-30,70.30,171.00,102.13
6803486.00,2019-05-31,66.20,3250.00,447.96
6803486.00,2019-06-30,118.00,1860.00,404.57
6803486.00,2019-07-31,35.70,952.00,107.69
6803486.00,2019-08-31,54.30,108.00,64.54
6803486.00,2019-09-30,27.00,204.00,72.78
6803495.00,2005-01-31,52.10,76.90,59.24
6803495.00,2005-02-28,54.90,585.00,103.64
6803495.00,2005-03-31,49.00,87.80,55.65
6803495.00,2005-04-30,42.30,269.00,75.96
6803495.00,2005-05-31,40.60,781.00,104.33
6803495.00,2005-06-30,35.40,224.00,79.30
6803495.00,2005-07-31,29.20,1520.00,97.00
6803495.00,2005-08-31,28.00,217.00,58.76
6803495.00,2005-09-30,22.70,35.00,27.09
6803495.00,2005-10-31,23.80,155.00,43.49
6803495.00,2005-11-30,30.30,199.00,46.12
6803495.00,2005-12-31,37.00,57.60,44.08
6803495.00,2006-01-31,31.30,115.00,42.20
6803495.00,2006-02-28,30.00,40.00,36.34
6803495.00,2006-03-31,35.70,329.00,67.69
6803495.00,2006-04-30,38.80,332.00,97.05
6803495.00,2006-05-31,36.10,264.00,84.73
6803495.00,2006-06-30,30.80,220.00,69.09
6803495.00,2006-07-31,23.60,211.00,45.78
6803495.00,2006-08-31,25.60,594.00,76.63
6803495.00,2006-09-30,28.20,403.00,98.00
6803495.00,2006-10-31,26.90,121.00,35.08
6803495.00,2006-11-30,27.60,33.90,30.52
6803495.00,2006-12-31,26.50,303.00,50.55
6803495.00,2007-01-31,41.00,133.00,62.24
6803495.00,2007-02-28,33.80,508.00,117.16
6803495.00,2007-03-31,45.20,547.00,129.50
6803495.00,2007-04-30,39.10,2090.00,198.34
6803495.00,2007-05-31,52.10,13000.00,1132.06
6803495.00,2007-06-30,111.00,1110.00,300.83
6803495.00,2007-07-31,34.60,198.00,69.36
6803495.00,2007-08-31,49.90,845.00,213.47
6803495.00,2007-09-30,36.70,890.00,132.91
6803495.00,2007-10-31,58.50,1280.00,265.88
6803495.00,2007-11-30,66.90,88.60,75.45
6803495.00,2007-12-31,78.90,194.00,99.41
6803495.00,2008-01-31,65.30,330.00,96.92
6803495.00,2008-02-29,89.90,167.00,117.17
6803495.00,2008-03-31,90.00,231.00,124.78
6803495.00,2008-04-30,123.00,918.00,297.40
6803495.00,2008-05-31,153.00,1790.00,433.35
6803495.00,2008-06-30,338.00,8960.00,1835.43
6803495.00,2008-07-31,165.00,1430.00,358.06
6803495.00,2008-08-31,55.20,214.00,100.17
6803495.00,2008-09-30,54.30,786.00,144.33
6803495.00,2008-10-31,54.70,4720.00,396.83
6803495.00,2008-11-30,119.00,330.00,164.70
6803495.00,2008-12-31,71.00,286.00,124.07
6803495.00,2009-01-31,70.00,124.00,98.71
6803495.00,2009-02-28,59.80,161.00,99.13
6803495.00,2009-03-31,63.10,177.00,93.25
6803495.00,2009-04-30,77.20,153.00,103.77
6803495.00,2009-05-31,55.30,158.00,84.13
6803495.00,2009-06-30,74.80,771.00,233.58
6803495.00,2009-07-31,43.30,177.00,78.31
6803495.00,2009-08-31,35.80,402.00,97.22
6803495.00,2009-09-30,36.00,379.00,73.32
6803495.00,2009-10-31,42.80,784.00,137.13
6803495.00,2009-11-30,66.50,144.00,80.02
6803495.00,2009-12-31,41.20,123.00,64.20
6803495.00,2010-01-31,63.00,636.00,142.68
6803495.00,2010-02-28,88.80,161.00,118.83
6803495.00,2010-03-31,102.00,1900.00,537.77
6803495.00,2010-04-30,127.00,1310.00,213.47
6803495.00,2010-05-31,157.00,1050.00,314.81
6803495.00,2010-06-30,299.00,8330.00,1096.73
6803495.00,2010-07-31,186.00,3140.00,638.77
6803495.00,2010-08-31,60.20,260.00,110.26
6803495.00,2010-09-30,61.20,997.00,143.44
6803495.00,2010-10-31,53.90,85.80,62.17
6803495.00,2010-11-30,60.80,398.00,96.65
6803495.00,2010-12-31,56.00,78.00,66.65
6803495.00,2011-01-31,75.00,126.00,94.55
6803495.00,2011-02-28,73.00,465.00,145.74
