Month,Max_Runoff,Min_Runoff,Avg_Runoff
1,210.00,3.65,34.36
2,370.00,5.23,40.39
3,4680.00,8.68,78.02
4,638.00,9.42,49.15
5,3740.00,7.58,155.81
6,2530.00,6.93,157.11
7,1620.00,3.86,61.04
8,2250.00,5.01,57.08
9,1150.00,3.50,44.29
10,1570.00,3.50,42.78
11,106.00,6.42,27.89
12,1090.00,5.86,39.53
